"sektor","naeti","osigbaza","srzapl","godina","quarter"
77,24480,36992613.77,503.698343,2013,2
78,23121,22155426.3,319.412745,2013,2
79,14495,32937273.24,757.439881,2013,2
80,887,2645862.17,993.937704,2013,2
81,6946,10882082.77,522.222995,2013,2
82,7755,11766536.52,505.71782,2013,2
83,2238,11013424.7,1639.878603,2013,2
84,24513,63245349.53,860.024606,2013,2
85,1157,1522473.62,438.500466,2013,2
99,349646,649131912.18,618.846198,2013,2
0,389,827137.51,708.772502,2014,2
1,62450,112286653.69,599.338427,2014,2
2,15651,28585774.7,608.790857,2014,2
3,315,420498.4,444.501479,2014,2
4,12414,54697108.66,1468.654744,2014,2
5,737,1908573.8,862.827215,2014,2
6,5807,23941940.1,1374.314913,2014,2
7,121,314694.98,862.178027,2014,2
8,534,943046.84,588.668439,2014,2
9,195,363429.88,620.187508,2014,2
10,2521,5861882.05,774.971185,2014,2
11,48,115912.69,793.922534,2014,2
12,901,2270788.24,839.78855,2014,2
13,13816,20910111.84,504.490248,2014,2
14,4070,7263213.19,594.80904,2014,2
15,6332,9944251.85,523.436774,2014,2
16,2975,5703469.77,639.044231,2014,2
17,8189,14068901.99,572.674807,2014,2
18,2340,5774184.84,822.533452,2014,2
19,35102,49720873.98,472.151651,2014,2
20,6147,14650492.89,794.452192,2014,2
21,1630,3344989.03,684.046836,2014,2
22,5490,9417430.08,571.758246,2014,2
23,2504,9728887.99,1294.940501,2014,2
24,4532,11074012.81,814.505208,2014,2
25,3347,13110356.88,1305.552368,2014,2
26,12599,22896825.6,605.784205,2014,2
27,91015,122573594.13,448.913527,2014,2
28,8827,14710669.72,555.475955,2014,2
29,16168,21427791.11,441.773691,2014,2
30,16886,21678005,427.920112,2014,2
31,8383,16448068.09,653.972728,2014,2
32,17339,40312168.14,774.980643,2014,2
33,1672,10352243.69,2063.021859,2014,2
34,13659,34043566.59,830.776675,2014,2
35,8915,25705727.25,961.069549,2014,2
36,26331,44886513.98,568.234071,2014,2
37,22557,54362772.01,803.327402,2014,2
38,4461,18295556.84,1366.972268,2014,2
39,3689,7132771.05,644.449859,2014,2
40,49395,96087688.95,648.421851,2014,2
41,8759,22519738.26,856.948067,2014,2
42,21862,53098128,809.570775,2014,2
43,34456,81175950.64,785.295062,2014,2
44,589,1536590.78,869.604289,2014,2
45,17856,40494223.34,755.912326,2014,2
46,21194,28235519.01,444.080384,2014,2
47,23412,55040065.76,783.633494,2014,2
