oblast,period,ikonaktiwni,regbezr,pod29bezr
Видин,201112,37828,6776,1314
Враца,201112,74912,12981,2424
Габрово,201112,54178,3778,599
Добрич,201112,79873,10254,1876
Кърджали,201112,60746,8830,1277
Кюстендил,201112,56911,7362,1589
Ловеч,201112,55868,8637,1620
Монтана,201112,60045,11334,2359
Пазарджик,201112,115297,17377,3648
Перник,201112,60837,5574,1130
Плевен,201112,107641,15374,2916
Пловдив,201112,302681,27334,6352
Разград,201112,52154,9418,1460
Русе,201112,102880,10093,1700
Силистра,201112,45518,8293,1411
Сливен,201112,78097,12399,3199
Смолян,201112,58440,11156,1575
гр. София,201112,665475,22454,3939
Софийска,201112,109181,13366,3331
Стара Загора,201112,147697,13182,3119
Търговище,201112,49168,9455,1358
Хасково,201112,104465,11654,2397
Шумен,201112,76138,13276,2472
Ямбол,201112,55779,7878,2015
Общо за страната,201201,3282740,365995,73241
Благоевград,201201,151333,20169,4192
Бургас,201201,188448,17518,3515
Варна,201201,222697,18738,4020
Велико Търново,201201,108453,13074,2250
Видин,201201,37828,7252,1416
Враца,201201,74912,13783,2626
Габрово,201201,54178,3984,646
Добрич,201201,79873,11160,1998
Кърджали,201201,60746,9359,1404
Кюстендил,201201,56911,7740,1649
Ловеч,201201,55868,9040,1695
Монтана,201201,60045,11949,2480
Пазарджик,201201,115297,18375,3904
Перник,201201,60837,6025,1220
Плевен,201201,107641,16700,3236
Пловдив,201201,302681,28831,6693
Разград,201201,52154,9924,1517
Русе,201201,102880,10819,1844
Силистра,201201,45518,8787,1493
Сливен,201201,78097,13381,3497
Смолян,201201,58440,12239,1804
гр. София,201201,665475,23612,4219
Софийска,201201,109181,14141,3523
Стара Загора,201201,147697,14351,3510
Търговище,201201,49168,9930,1426
Хасково,201201,104465,12416,2640
Шумен,201201,76138,14154,2647
Ямбол,201201,55779,8544,2177
Общо за страната,201202,3282740,376171,75533
Благоевград,201202,151333,21269,4421
Бургас,201202,188448,17906,3661
Варна,201202,222697,19286,4158
Велико Търново,201202,108453,13112,2240
Видин,201202,37828,7438,1434
Враца,201202,74912,14189,2740
Габрово,201202,54178,4115,660
Добрич,201202,79873,11438,2036
Кърджали,201202,60746,9492,1413
Кюстендил,201202,56911,8022,1686
Ловеч,201202,55868,9216,1739
